artist_name,track_name,album_name,track_type,streams_total,streams_daily,scraping_date
Damso,Macarena,,solo,274975714,112801,2025-12-16
Damso,Mwaka Moon,,feat,196932457,63966,2025-12-16
Damso,Dieu ne ment jamais,,solo,175647535,94065,2025-12-16
Damso,Signaler,,solo,173025750,74560,2025-12-16
Damso,Feu de bois,,solo,170651968,65698,2025-12-16
Damso,Mosaïque solitaire,,solo,151560593,56863,2025-12-16
Damso,J Respect R,,solo,140410278,48339,2025-12-16
Damso,Tricheur,,feat,128149531,21953,2025-12-16
Damso,MOROSE,,solo,116754189,46277,2025-12-16
Damso,RENCONTRE,,feat,107570502,48722,2025-12-16
Damso,Mobali,,feat,106723468,17883,2025-12-16
Damso,Démons,,feat,102727549,31606,2025-12-16
Damso,911,,solo,102321501,30228,2025-12-16
Damso,Rêves bizarres (feat. Damso),,feat,100511794,17025,2025-12-16
Damso,Pyramide,,feat,97727944,121576,2025-12-16
Damso,Dégaine (feat. Damso),,feat,96402562,24665,2025-12-16
Damso,God Bless (feat. Damso),,feat,95072267,42853,2025-12-16
Damso,Alpha,,solo,87972320,106814,2025-12-16
Damso,Nocif,,feat,84973968,23631,2025-12-16
Damso,Smog,,solo,83572844,13215,2025-12-16
Damso,Autotune,,solo,82711823,48289,2025-12-16
Damso,LA RUE,,feat,81552965,20529,2025-12-16
Damso,Ipséité - Bonus Track,,solo,77300295,12860,2025-12-16
Damso,DEUX TOILES DE MER,,solo,74719632,20363,2025-12-16
Damso,Silence,,solo,73555247,25647,2025-12-16
Damso,Paris c'est loin,,solo,72485520,24898,2025-12-16
Damso,Kietu,,solo,70119726,29704,2025-12-16
Damso,60 années,,solo,66213859,26544,2025-12-16
Damso,Nwaar Is The New Black,,solo,65624005,14609,2025-12-16
Damso,COEUR EN MIETTES,,solo,64815033,28967,2025-12-16
Damso,BXL ZOO,,solo,63906871,12140,2025-12-16
Damso,Du mal à te dire,,feat,63861350,21660,2025-12-16
Damso,Promo (feat. Damso),,feat,59960039,13648,2025-12-16
Damso,Vitrine,,feat,57086879,16322,2025-12-16
Damso,Impardonnable,,solo,56141350,153285,2025-12-16
Damso,COEUR DE ICE (feat. Damso & PRINC€),,feat,55970804,15778,2025-12-16
Damso,R9R-LINE (feat. Damso),,feat,54466650,8616,2025-12-16
Damso,BODIES (feat. Damso),,feat,52728833,12793,2025-12-16
Damso,BruxellesVie,,solo,52712446,11480,2025-12-16
Damso,Noche,,feat,50248757,11088,2025-12-16
Damso,#QuedusaalVie,,solo,48561273,7906,2025-12-16
Damso,LIFE LIFE,,solo,48475620,12415,2025-12-16
Damso,Pa Pa Paw,,solo,47696075,132393,2025-12-16
Damso,Quoi de neuf bébé,,feat,45921528,40433,2025-12-16
Damso,VANTABLACK,,solo,44732232,12649,2025-12-16
Damso,Kin la belle,,solo,43694227,11330,2025-12-16
Damso,Lové,,solo,42546977,13849,2025-12-16
Damso,Triple V,,feat,41869675,124542,2025-12-16
Damso,Julien,,solo,41117927,12082,2025-12-16
Damso,BPM,,solo,40176061,13871,2025-12-16
Damso,2 DIAMANTS,,solo,38850524,7579,2025-12-16
Damso,113,,feat,38385686,5195,2025-12-16
Damso,Graine de sablier,,solo,37708261,18580,2025-12-16
Damso,Coeur De Pirate,,solo,36368660,7425,2025-12-16
Damso,Humains - Bonus Track,,solo,36331031,23703,2025-12-16
Damso,Débrouillard,,solo,35658875,14271,2025-12-16
Damso,SENTIMENTAL,,solo,35260236,8145,2025-12-16
Damso,TieksVie,,solo,34276692,5096,2025-12-16
Damso,Périscope,,solo,33343333,7904,2025-12-16
Damso,Baltringue,,solo,32770682,8557,2025-12-16
Damso,Dix leurres,,solo,32188317,6877,2025-12-16
Damso,Malpolis,,feat,32035431,6330,2025-12-16
Damso,William,,solo,30886766,5895,2025-12-16
Damso,But en or,,feat,30301351,4495,2025-12-16
Damso,Pinocchio,,feat,29777791,8267,2025-12-16
Damso,Fais-moi un Vie,,solo,29210358,6134,2025-12-16
Damso,Mort,,solo,28857736,5666,2025-12-16
